69604-0,370190203032017
70059-0,540110107005037
24048-0,260992610003003
61137-0,551410108001021
51666-0,420110005003035
24560-0,190693602001012
31096-0,401091072132002
55446-0,250214572001008
37164-0,090135303013006
7020-0,410670307001003
40706-0,482450003023001
1762-0,181670112004047
24823-0,420010306003018
14991-0,391730201003013
329-0,360930327003019
7153-0,060372075021028
27619-0,120950167331043
13078-0,410519800001073
17645-0,200219586003041
54841-0,295101097004071
43861-0,171430048013021
3374-0,170370008003022
14872-0,040190025011032
40430-0,360259708002020
34401-0,130591405001002
52948-0,370670040051017
3241-0,060710095003011
11320-0,"11320-0 109 N Washington Hwy,  Ashland,  VA,  23005Tie"
41462-0,200910524212009
14071-0,"14071-0 123 W 6th Street,  Crookston,  MN,  56716Tie"
34787-0,201110002004051
66296-0,484230015003099
34284-0,370670026011018
22424-0,170318041042001
43336-0,371350122023016
62877-0,080319800001047
54066-0,061110085003049
36800-0,191976801003014
12583-0,230079714002009
2354-0,370510033042001
25294-0,250277316006014
38433-0,460819661001131
31631-0,471079704022043
39452-0,060750101001007
1775-0,260810112001010
19012-0,171018810001010
14097-0,421039501041070
16755-0,220950705002001
6931-0,260450201032019
19946-0,"19946-0 509 W 8th St.,  Beloit,  KS,  67420Tie"
38851-0,511099503003082
42971-0,350619702003011
30251-0,421010147002001
7299-0,480850317083013
35148-0,371830532012019
13350-0,"13350-0 414 S. 11th St.,  Denison,  IA,  51442Tie"
25722-0,270531044002009
28518-0,050014807001064
32485-0,250092121003022
44342-0,320030058301003
24693-0,181670105002006
37031-0,240317025004005
10674-0,171150029042020
11479-0,060310004041000
16768-0,420010313001041
34547-0,360957401003062
7286-0,190799603001024
18531-0,410170004011012
23469-0,260750068043005
36648-0,201030711011043
31346-0,470930017002010
27093-0,"27093-0 721 S Main St,  Hennessey,  OK,  73742Tie"
66857-0,060650419043018
30981-0,211959314002013
33754-0,340155012051028
43621-0,060855033053010
10817-0,"10817-0 981 E Main St,  Galesburg,  IL,  61401Tie"
10064-0,310430102002031
1918-0,280470015022008
27103-0,060372212202002
7896-0,170978645121042
39572-0,060670085092004
2617-0,390650002003018
29337-0,390610270002006
20541-0,530330222013006
56955-0,160659503022076
41177-0,080050859002005
57351-0,291892180123023
36515-0,191130102002070
15509-0,051250105112049
28148-0,110010076015022
57841-0,360750205005102
14898-0,490111268023020
23278-0,060670011011013
11168-0,"11168-0 810 N Main St,  Payson,  UT,  84651Tie"
6334-0,181670016002005
11943-0,410530202023024
1211-0,120950164071056
17214-0,460879646002295
28660-0,250277461002008
3147-0,120860135002001
280-0,260450201033023
18486-0,550279612002015
16813-0,482319616002005
51248-0,291594809003075
13687-0,401010001001030
16670-0,340190108012018
48553-0,481410026005017
28803-0,400173002021177
21560-0,510619301004007
5960-0,132450101072002
25677-0,410333605004048
60416-0,"60416-0 500 N Oregon Street,  El Paso,  TX,  79901Tie"
37534-0,090093511002013
35339-0,371510314001032
12285-0,"12285-0 1205 W. Main St.,  Manchester,  IA,  52057Tie"
44845-0,480270231064000
39692-0,490479682003019
7510-0,010179547002023
50621-0,350010037351050
15651-0,360010011001089
12428-0,482570511003040
40994-0,380170102042056
14778-1,240135010021012
6454-0,530579522001024
20301-0,510670204001122
25927-0,261210004023014
7523-0,171150002002012
32602-0,240054042023000
31703-0,450019502003009
50099-0,310550073181033
25424-0,060971507011011
24525-0,370350117021000
61111-0,060710097142008
11680-0,310550074402001
1451-0,350010037144000
19372-0,361219710004022
31333-0,"31333-0 523 E Grand Avenue,  Tower City,  PA,  17980Tie"
303-0,360070135002002
26670-0,261158303003045
7821-0,250039141003016
53750-0,360610238011009
43719-0,240119552012096
4179-0,450019505004020
18901-0,483732104001040
16145-0,271450104021085
30086-0,261635119001042
26252-0,040059452001001
21288-0,350130015003173
17778-0,010810421024017
65766-0,481872107142019
50887-0,250092108002012
26933-0,420159514003037
55170-0,250173161022023
57601-0,090010905002000
1477-0,051310011013001
57316-0,220119603003021
28673-0,360610052002006
42877-0,060552009001040
28936-0,330110025002022
39417-0,291650303082001
4309-0,080050835005006
